id,name,designation,company
2651,Zhooben Dosabhoy Bhiwandiwala,Non Exe.Non Ind.Director,mahindracieautomotive
2652,Manoj Maheshwari,Ind. Non-Executive Director,mahindracieautomotive
2653,Kadambi Narahari,Ind. Non-Executive Director,mahindracieautomotive
2654,,Ind. Non-Executive Director,mahindracieautomotive
2655,Arun Nanda,Chairman,mahindraholidaysresortsindia
2656,Rohit Khattar,Director,mahindraholidaysresortsindia
2657,Sanjeev Aga,Director,mahindraholidaysresortsindia
2658,Anish Shah,Director,mahindraholidaysresortsindia
2659,Ruzbeh Irani,Director,mahindraholidaysresortsindia
2660,Kavinder Singh,Managing Director & CEO,mahindraholidaysresortsindia
2661,Sridar Iyengar,Director,mahindraholidaysresortsindia
2662,Sangeeta Talwar,Director,mahindraholidaysresortsindia
2663,Diwakar Gupta,Director,mahindraholidaysresortsindia
2664,Arun Nanda,Chairman,mahindralifespacedevelopers
2665,Ameet Hariani,Director,mahindralifespacedevelopers
2666,Anish Shah,Director,mahindralifespacedevelopers
2667,Bharat Shah,Director,mahindralifespacedevelopers
2668,Arvind Subramanian,Managing Director & CEO,mahindralifespacedevelopers
2669,Amrita Chowdhury,Director,mahindralifespacedevelopers
2670,S Durgashankar,Director,mahindralifespacedevelopers
2671,Anish Shah,Chairman & Non-Exe.Director,mahindralogistics
2672,Naveen Raju,Non Executive Director,mahindralogistics
2673,S Durgashankar,Non Executive Director,mahindralogistics
2674,Darius Pandole,Independent Director,mahindralogistics
2675,Malvika Sinha,Independent Director,mahindralogistics
2676,Ajay Mehta,Independent Director,mahindralogistics
2677,Rampraveen Swaminathan,Managing Director & CEO,mahindralogistics
2678,Amit Kumar Sinha,Non Executive Director,mahindralogistics
2679,Avani Davda,Non Executive Director,mahindralogistics
2680,Dhananjay Mungale,Independent Director,mahindralogistics
2681,Ranu Vohra,Independent Director,mahindralogistics
2682,Jagdish Capoor,Chairman,manappuramfinance
2683,B N Raveendra Babu,Director,manappuramfinance
2684,Sutapa  Banerjee,Director,manappuramfinance
2685,V R Ramachandran,Director,manappuramfinance
2686,Shailesh Jayantilal Mehta,Director,manappuramfinance
2687,S R Balasubramanian,Director,manappuramfinance
2688,V P Nandakumar,Managing Director & CEO,manappuramfinance
2689,Gautam Narayan,Director,manappuramfinance
2690,P Manomohanan,Director,manappuramfinance
2691,Harshan Kollara,Director,manappuramfinance
2692,Abhijit Sen,Director,manappuramfinance
2693,Harsh Mariwala,Chairman & Non-Exe.Director,marico
2694,Rajendra Mariwala,Non Executive Director,marico
2695,B S Nagesh,Independent Director,marico
2696,Nikhil Khattau,Independent Director,marico
2697,Milind Barve,Independent Director,marico
2698,Saugata Gupta,Managing Director & CEO,marico
2699,Rishabh Mariwala,Non Executive Director,marico
2700,Hema Ravichandar,Independent Director,marico
2701,Ananth Sankaranarayanan,Independent Director,marico
2702,R C Bhargava,Chairman,marutisuzukiindia
2703,Hisashi Takeuchi,Joint Managing Director,marutisuzukiindia
2704,D S Brar,Independent Director,marutisuzukiindia
2705,Lira Goswami,Independent Director,marutisuzukiindia
2706,O Suzuki,Director,marutisuzukiindia
2707,Kenichiro Toyofuku,Director,marutisuzukiindia
2708,Kenichi Ayukawa,Managing Director & CEO,marutisuzukiindia
2709,Shigetoshi Torii,Joint Managing Director,marutisuzukiindia
2710,R P Singh,Independent Director,marutisuzukiindia
2711,Maheswar Sahu,Independent Director,marutisuzukiindia
2712,T Suzuki,Director,marutisuzukiindia
2713,Kinji Saito,Director,marutisuzukiindia
2714,Kamlesh C Gandhi,Chairman & Managing Director,masfinancialservices
2715,Balabhaskaran N Nair,Ind. Non-Executive Director,masfinancialservices
2716,Umesh R Shah,Ind. Non-Executive Director,masfinancialservices
2717,Darshana S Pandya,Director & CEO,masfinancialservices
2718,Chetan R Shah,Ind. Non-Executive Director,masfinancialservices
2719,Daksha N Shah,Ind. Non-Executive Director,masfinancialservices
2720,S Sandilya,Non Exe.Chairman&Ind.Director,mastek
2721,Priti Rao,Ind. Non-Executive Director,mastek
2722,Rajeev Grover,Ind. Non-Executive Director,mastek
2723,Ashank Desai,Vice Chairman & Mng.Director,mastek
2724,Atul Kanagat,Ind. Non-Executive Director,mastek
2725,Ketan Mehta,Non Exe.Non Ind.Director,mastek
2726,Analjit Singh,Chairman,maxfinancialservices
2727,Sahil Vachani,Non Executive Director,maxfinancialservices
2728,Mitsuru Yasuda,Non Executive Director,maxfinancialservices
2729,Aman Mehta,Independent Director,maxfinancialservices
2730,Charles Richard Vernon Stagg,Independent Director,maxfinancialservices
2731,K Narasimha Murthy,Independent Director,maxfinancialservices
2732,Mohit Talwar,Managing Director,maxfinancialservices
2733,Hideaki Nomura,Non Executive Director,maxfinancialservices
2734,Naina Lal Kidwai,Independent Director,maxfinancialservices
2735,D K Mittal,Independent Director,maxfinancialservices
2736,Jai Arya,Independent Director,maxfinancialservices
2737,Saurabh Chandra,Chairman & Director,multicommodityexchangeindia
2738,Pravin Tripathi,Director,multicommodityexchangeindia
2739,Shankar Aggarwal,Director,multicommodityexchangeindia
2740,Chengalath Jayaram,Shareholder Director,multicommodityexchangeindia
2741,Hemang Raja,Shareholder Director,multicommodityexchangeindia
2742,P S Reddy,Managing Director & CEO,multicommodityexchangeindia
2743,Bhartendu Kumar Gairola,Director,multicommodityexchangeindia
2744,Deepali Pant Joshi,Director,multicommodityexchangeindia
2745,Amit Goela,Shareholder Director,multicommodityexchangeindia
2746,Chandra Shekhar Verma,Director,multicommodityexchangeindia
2747,Sushil Kanubhai Shah,Chairman & Executive Director,metropolishealthcare
2748,Vivek Gambhir,Ind. Non-Executive Director,metropolishealthcare
2749,Milind Shripad Sarwate,Ind. Non-Executive Director,metropolishealthcare
2750,Hemant Sachdev,Non Exe.Non Ind.Director,metropolishealthcare
2751,Ameera Sushil Shah,Managing Director,metropolishealthcare
2752,Sanjay Bhatnagar,Ind. Non-Executive Director,metropolishealthcare
2753,Anita Ramachandran,Ind. Non-Executive Director,metropolishealthcare
2754,Ashok Minda,Chairman & Group CEO,mindacorporation
2755,Aakash Minda,Executive Director,mindacorporation
2756,Rakesh Chopra,Independent Director,mindacorporation
2757,Pratima Ram,Independent Director,mindacorporation
2758,N K Modi,Executive Director & CFO,mindacorporation
2759,Ravi Sud,Non Exe.Non Ind.Director,mindacorporation
2760,Ashok Kumar Jha,Independent Director,mindacorporation
2761,Avinash Parkash Gandhi,Independent Director,mindacorporation
2762,Nirmal K Minda,Chairman & Managing Director,mindaindustries
2763,Anand Kumar Minda,Non Executive Director,mindaindustries
2764,Paridhi Minda,Whole Time Director,mindaindustries
2765,Chandan Chowdhury,Independent Director,mindaindustries
2766,Ravi Mehra,Deputy Managing Director,mindaindustries
2767,Pravin Tripathi,Independent Director,mindaindustries
2768,Krishan Kumar Jalan,Independent Director,mindaindustries
2769,Satish Sekhri,Independent Director,mindaindustries
2770,Anilkumar Manibhai Naik,Non Executive Chairman,mindtree
2771,Debashis Chatterjee,Managing Director & CEO,mindtree
2772,Venugopal Lambu,Executive Director & President,mindtree
2773,Akshaya Bhargava,Independent Director,mindtree
2774,Prasanna Rangacharya Mysore,Independent Director,mindtree
2775,Deepa Gopalan Wadhwa,Independent Director,mindtree
2776,Sekharipuram Narayanan Subrahmanyan,Non Executive Vice Chairman,mindtree
2777,Dayapatra Nevatia,COO & Executive Director,mindtree
2778,Ramamurthi Shankar Raman,Non Executive Director,mindtree
2779,Bijou Kurien,Independent Director,mindtree
2780,Apurva Purohit,Independent Director,mindtree
2781,Chandrasekaran Ramakrishnan,Independent Director,mindtree
2782,Sanjay Kumar Jha,Chairman & Managing Director,mishradhatunigamltd
2783,Anurag Bajpai,Government Nominee Director,mishradhatunigamltd
2784,Gowri Sankara Rao Naramsetti,Director - Finance & CFO,mishradhatunigamltd
2785,Sanjay Chadha,Chairman & Managing Director,mmtc
2786,J Ravi Shanker,Director - Marketing,mmtc
2787,G Manjunath,Non Official Independent Director,mmtc
2788,Shashank Priya,Government Nominee Director,mmtc
2789,Pradip Kumar Varma,Non Official Independent Director,mmtc
2790,R R Sinha,Director - Personnel,mmtc
2791,K K Gupta,Director - Finance & CFO,mmtc
2792,Swadhinta Krishna,Non Official Independent Director,mmtc
2793,Shyamal Misra,Government Nominee Director,mmtc
2794,M P Chaudhari,Chairman & Managing Director,moil
2795,Mangesh P Kinare,Independent Director,moil
2796,D Shome,Director - Production & Planning,moil
2797,Usha Singh,Director - Human Resources,moil
2798,T Srinivas,Government Nominee Director,moil
2799,V M Chariar,Independent Director,moil
2800,Deepak Singh,Independent Director,moil
2801,Rakesh Tumane,Director - Finance,moil
2802,P V V Pattnaik,Director - Commercial,moil
2803,Raamdeo Agarawal,Chairman & Non-Exe.Director,motilaloswalfinancialservices
2804,Navin Agarwal,Non Executive Director,motilaloswalfinancialservices
2805,Chandrashekhar Karnik,Independent Director,motilaloswalfinancialservices
2806,Divya Momaya,Independent Director,motilaloswalfinancialservices
2807,Motilal Oswal,Managing Director & CEO,motilaloswalfinancialservices
2808,C N Murthy,Independent Director,motilaloswalfinancialservices
2809,Pankaj Bhansali,Independent Director,motilaloswalfinancialservices
2810,Swanubhuti Jain,Independent Director,motilaloswalfinancialservices
2811,Davinder Singh Brar,Chairman,mphasis
2812,Narayanan Kumar,Director,mphasis
2813,David Lawrence Johnson,Director,mphasis
2814,Amit Dixit,Director,mphasis
2815,Marshall Jan Lux,Director,mphasis
2816,Nitin Rakesh,Executive Director & CEO,mphasis
2817,Jan Kathleen Hier,Director,mphasis
2818,Paul James Upchurch,Director,mphasis
2819,Amit Dalmia,Director,mphasis
2820,K M Mammen,Chairman & Managing Director,mrf
2821,Rahul Mammen Mappillai,Managing Director,mrf
2822,Varun Mammen,Whole Time Director,mrf
2823,Ambika Mammen,Director,mrf
2824,V Sridhar,Director,mrf
2825,Ranjit I Jesudasen,Director,mrf
2826,Jacob Kurian,Director,mrf
2827,Arun Mammen,Vice Chairman & Mng.Director,mrf
2828,Samir Thariyan Mappillai,Whole Time Director,mrf
2829,Cibi Mammen,Director,mrf
2830,Ashok Jacob,Director,mrf
2831,Vijay R Kirloskar,Director,mrf
2832,Salim Joseph Thomas,Director,mrf
2833,Vimla Abraham,Director,mrf
2834,Subhash Kumar,Chairman,mangalorerefinerypetrochemicals
2835,Pomila Jaspal,Director - Finance,mangalorerefinerypetrochemicals
2836,R T Agarwal,Independent Director,mangalorerefinerypetrochemicals
2837,Vinod S Shenoy,Nominee Director,mangalorerefinerypetrochemicals
2838,Esha Srivastava,Government Nominee Director,mangalorerefinerypetrochemicals
2839,M Venkatesh,Managing Director & CEO,mangalorerefinerypetrochemicals
2840,Sanjay Varma,Director - Refineries,mangalorerefinerypetrochemicals
2841,Om Prakash Singh,Nominee Director,mangalorerefinerypetrochemicals
2842,Rohit Mathur,Government Nominee Director,mangalorerefinerypetrochemicals
2843,George Jacob Muthoot,Chairman & Wholetime Director,muthootfinance
2844,George Thomas Muthoot,Whole Time Director,muthootfinance
2845,Jose Mathew,Independent Director,muthootfinance
2846,Pratip Chaudhuri,Independent Director,muthootfinance
2847,Ravindra Pisharody,Independent Director,muthootfinance
2848,George Alexander Muthoot,Managing Director,muthootfinance
2849,Alexander M George,Whole Time Director,muthootfinance
2850,Vadakkekara Anthony George,Independent Director,muthootfinance
2851,Jacob Benjamin Koshy,Independent Director,muthootfinance
2852,Usha Sunny,Independent Director,muthootfinance
2853,Sridhar Patra,Chairman & Managing Director,nationalaluminiumcompany
2854,M P Mishra,Director - Finance,nationalaluminiumcompany
2855,Sanjay Lohiya,Part Time Official Director,nationalaluminiumcompany
2856,Radhashyam Mahapatro,Director - Human Resources,nationalaluminiumcompany
2857,Bijay Kumar Das,Director - Production,nationalaluminiumcompany
2858,Satendra Singh,Part Time Official Director,nationalaluminiumcompany
2859,Devi Prasad Shetty,Chairman & Wholetime Director,narayanahrudayalaya
2860,Viren Prasad Shetty,Whole Time Director,narayanahrudayalaya
2861,Dinesh Krishnaswamy,Independent Director,narayanahrudayalaya
2862,Arun Seth,Independent Director,narayanahrudayalaya
2863,Nivruti Rai,Independent Woman Director,narayanahrudayalaya
2864,Emmanuel Rupert,Managing Director & Group CEO,narayanahrudayalaya
2865,Kiran Mazumdar Shaw,Non Executive Director,narayanahrudayalaya
2866,Muthuraman Balasubramanian,Independent Director,narayanahrudayalaya
2867,Subramanya Bangalore Nagappa,Independent Director,narayanahrudayalaya
2868,V C Nannapaneni,Chairman & Managing Director,natcopharma
2869,T V Rao,Independent Director,natcopharma
2870,D G Prasad,Independent Director,natcopharma
2871,Leela Digumarti,Independent Director,natcopharma
2872,Linga Rao Donthineni,Director & President (Tech. Affairs),natcopharma
2873,Rajeev Nannapaneni,Vice Chairman & CEO,natcopharma
2874,G S Murthy,Independent Director,natcopharma
2875,M U R Naidu,Independent Director,natcopharma
2876,P S R K Prasad,Director & Exe. VP (Corp. Engg. Services),natcopharma
2877,Sridhar Sankararaman,Non Exe.Non Ind.Director,natcopharma
2878,Vishad P Mafatlal,Chairman,navinfluorineinternational
2879,Mohan M Nambiar,Director,navinfluorineinternational
2880,Sunil S Lalbhai,Director,navinfluorineinternational
2881,Harish H Engineer,Director,navinfluorineinternational
2882,Atul K Srivastava,Director,navinfluorineinternational
2883,Sujal A Shah,Director,navinfluorineinternational
2884,Radhesh R Welling,Managing Director,navinfluorineinternational
2885,Pradip N Kapadia,Director,navinfluorineinternational
2886,Sudhir G Mankad,Director,navinfluorineinternational
2887,Radhika V Haribhakti,Director,navinfluorineinternational
2888,Ashok U Sinha,Director,navinfluorineinternational
2889,Pawan Kumar Gupta,Chairman & Managing Director,nbccindia
2890,Jyoti Kiran Shukla,Independent Director,nbccindia
2891,Kamran Rizvi,Government Nominee Director,nbccindia
2892,B K Sokhey,Director - Finance,nbccindia
2893,Shyam Sunder Dubey,Government Nominee Director,nbccindia
2894,Hemant M Nerurkar,Chairman & Ind.Director,ncc
2895,A G K Raju,Executive Director,ncc
2896,J V Ranga Raju,Whole Time Director,ncc
2897,A S Durga Prasad,Independent Director,ncc
2898,O P Jagetiya,Independent Director,ncc
2899,A A V Ranga Raju,Managing Director,ncc
2900,A S N Raju,Whole Time Director,ncc
2901,A V N Raju,Whole Time Director,ncc
2902,Renu Challu,Independent Director,ncc
2903,Utpal Sheth,Director,ncc
2904,Sumant J Patel,Executive Director,nesco
2905,Sudha S Patel,Non Executive Director,nesco
2906,Jai S Diwanji,Independent Director,nesco
2907,Manu M Parpia,Independent Director,nesco
2908,Krishna S Patel,Chairman & Managing Director,nesco
2909,Mahendra K Chouhan,Independent Director,nesco
2910,K S Srinivasa Murty,Independent Director,nesco
2911,Amrita Verma Chowdhury,Independent Director,nesco
2912,Suresh Narayanan,Chairman & Managing Director,nestleindia
2913,Matthias C Lohner,Executive Director -Technical,nestleindia
2914,Swati A Piramal,Ind. Non-Executive Director,nestleindia
2915,Roopa Kudva,Ind. Non-Executive Director,nestleindia
2916,David S McDaniel,Executive Director & CFO,nestleindia
2917,Rajya Vardhan Kanoria,Ind. Non-Executive Director,nestleindia
2918,Rama Bijapurkar,Ind. Non-Executive Director,nestleindia
2919,P R Ramesh,Ind. Non-Executive Director,nestleindia
2920,Adil Zainulbhai,Chairman & Ind.Director,network18mediainvestments
2921,P M S Prasad,Non Executive Director,network18mediainvestments
2922,Dhruv Subodh Kaji,Independent Director,network18mediainvestments
2923,Bhama Krishnamurthy,Independent Director,network18mediainvestments
2924,Rahul Joshi,Managing Director,network18mediainvestments
2925,Jyoti Deshpande,Non Executive Director,network18mediainvestments
