Date,Open,High,Low,Close,Volume
2022-09-07,16.6,17.45,16.6,17.3,209105496.0
2022-09-08,17.5,18.05,17.4,17.75,268170150.0
2022-09-09,17.85,18.2,17.3,17.5,193221914.0
2022-09-12,17.7,17.8,17.5,17.55,98441497.0
2022-09-13,17.65,17.7,17.3,17.45,118386677.0
2022-09-14,17.15,17.5,17.1,17.25,137081038.0
2022-09-15,17.4,17.6,17.1,17.15,81502917.0
2022-09-16,17.15,17.25,16.65,16.75,127305239.0
2022-09-19,16.75,16.8,16.3,16.35,103007423.0
2022-09-20,16.45,16.85,16.35,16.4,87573547.0
2022-09-21,16.85,17.25,16.65,16.9,171508609.0
2022-09-22,16.85,17.15,16.6,16.75,99539210.0
2022-09-23,16.75,16.75,16.0,16.2,104057075.0
2022-09-26,16.0,16.0,15.35,15.5,98094429.0
2022-09-27,15.6,15.9,15.45,15.75,66927489.0
2022-09-28,15.6,15.75,15.4,15.45,67412435.0
2022-09-29,15.6,15.75,15.4,15.5,45476468.0
2022-09-30,15.55,15.85,15.4,15.65,86879185.0
2022-10-03,15.65,15.65,15.65,15.65,76306765.0
2022-10-04,15.65,16.3,15.6,16.2,112076362.0
2022-10-06,16.35,16.85,16.25,16.5,149333764.0
2022-10-07,16.75,16.75,16.35,16.55,59605751.0
2022-10-10,16.4,16.55,16.2,16.45,51241998.0
2022-10-11,16.5,16.6,16.05,16.15,48398744.0
2022-10-12,16.25,16.3,15.8,16.0,66034496.0
2022-10-13,15.95,16.0,15.6,15.8,38929298.0
2022-10-14,16.05,16.15,15.7,15.8,60503189.0
2022-10-17,15.7,16.05,15.65,15.75,83954100.0
2022-10-18,15.85,15.95,15.7,15.85,45399847.0
2022-10-19,15.85,16.05,15.8,15.9,44781578.0
2022-10-20,15.85,16.0,15.75,15.95,29372277.0
2022-10-21,16.15,16.35,15.9,16.05,62881273.0
2022-10-24,16.0,16.0,15.6,15.75,39994792.0
2022-10-25,15.7,15.85,15.55,15.6,56903508.0
2022-10-27,15.65,16.0,15.5,15.75,111351181.0
2022-10-28,15.8,15.8,15.6,15.65,27728826.0
2022-10-31,15.75,15.8,15.45,15.55,35745633.0
2022-11-01,15.6,15.85,15.25,15.5,111914590.0
2022-11-02,15.5,15.7,15.4,15.5,53832667.0
2022-11-03,15.5,16.3,15.5,16.1,140562676.0
2022-11-04,16.25,16.6,16.15,16.45,97341604.0
2022-11-07,16.55,16.75,16.4,16.55,77873357.0
2022-11-09,16.55,16.7,16.4,16.55,85265325.0
2022-11-10,16.5,16.65,16.25,16.5,71558329.0
2022-11-11,16.65,16.95,16.4,16.85,112993914.0
2022-11-14,16.85,17.4,16.75,17.1,195844509.0
2022-11-15,17.1,17.25,16.9,17.05,79191777.0
2022-11-16,17.05,17.35,16.9,17.05,106522657.0
